Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Wide (v17 - Frobenius normalized)
Parameters: 5,288,352
Batch size: 64
============================================================

  chunk 71 final batch loss = 0.706398
  chunk 72 final batch loss = 0.773980
  chunk 73 final batch loss = 0.439611
  chunk 74 final batch loss = 0.616895
  chunk 75 final batch loss = 0.318039
  chunk 76 final batch loss = 0.261163
  chunk 77 final batch loss = 0.493162
  chunk 78 final batch loss = 0.791783
  chunk 79 final batch loss = 0.698793
Validation loss: 0.530041
Saved BEST checkpoint
Epoch 5
  chunk 0 final batch loss = 0.806455
  chunk 1 final batch loss = 0.802274
  chunk 2 final batch loss = 0.506187
  chunk 3 final batch loss = 0.367422
  chunk 4 final batch loss = 0.778836
  chunk 5 final batch loss = 0.616274
  chunk 6 final batch loss = 0.283306
  chunk 7 final batch loss = 0.536568
  chunk 8 final batch loss = 0.420085
  chunk 9 final batch loss = 0.688272
  chunk 10 final batch loss = 0.553506
  chunk 11 final batch loss = 0.830580
  chunk 12 final batch loss = 0.760599
  chunk 13 final batch loss = 0.778521
  chunk 14 final batch loss = 0.535192
  chunk 15 final batch loss = 0.398704
  chunk 16 final batch loss = 0.318871
  chunk 17 final batch loss = 0.494497
  chunk 18 final batch loss = 0.678561
  chunk 19 final batch loss = 0.340888
  chunk 20 final batch loss = 0.818496
  chunk 21 final batch loss = 0.739339
  chunk 22 final batch loss = 0.793919
  chunk 23 final batch loss = 0.736478
  chunk 24 final batch loss = 0.813395
  chunk 25 final batch loss = 0.420487
  chunk 26 final batch loss = 0.794261
  chunk 27 final batch loss = 0.283061
  chunk 28 final batch loss = 0.318219
  chunk 29 final batch loss = 0.813354
  chunk 30 final batch loss = 0.323387
  chunk 31 final batch loss = 0.378451
  chunk 32 final batch loss = 0.756888
  chunk 33 final batch loss = 0.296839
  chunk 34 final batch loss = 0.439249
  chunk 35 final batch loss = 0.813220
  chunk 36 final batch loss = 0.744404
  chunk 37 final batch loss = 0.594552
  chunk 38 final batch loss = 0.280102
  chunk 39 final batch loss = 0.827175
  chunk 40 final batch loss = 0.322618
  chunk 41 final batch loss = 0.721885
  chunk 42 final batch loss = 0.292618
  chunk 43 final batch loss = 0.814840
  chunk 44 final batch loss = 0.425317
  chunk 45 final batch loss = 0.813100
