Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using STREAMING + FROBENIUS NORMALIZATION

============================================================
Training Transformer 8-qubit (v17 - Streaming + Frobenius)
Parameters: 1,611,072
Batch size: 8
============================================================

  Total batches: 10000, final loss = 0.871861
Validation loss: 0.915746
Saved BEST checkpoint
Epoch 7
  batch 100 loss = 0.932548
  batch 200 loss = 0.905939
  batch 300 loss = 0.892593
  batch 400 loss = 0.866270
  batch 500 loss = 0.876367
  batch 600 loss = 0.858395
  batch 700 loss = 0.933184
  batch 800 loss = 0.928667
  batch 900 loss = 0.900434
  batch 1000 loss = 0.902034
  batch 1100 loss = 0.906621
  batch 1200 loss = 0.865080
  batch 1300 loss = 0.938145
  batch 1400 loss = 0.871849
  batch 1500 loss = 0.840148
  batch 1600 loss = 0.856276
  batch 1700 loss = 0.900341
  batch 1800 loss = 0.913550
  batch 1900 loss = 0.928376
  batch 2000 loss = 0.930305
  batch 2100 loss = 0.935052
  batch 2200 loss = 0.861308
  batch 2300 loss = 0.854620
  batch 2400 loss = 0.932429
  batch 2500 loss = 0.937055
  batch 2600 loss = 0.932328
  batch 2700 loss = 0.880588
  batch 2800 loss = 0.883604
  batch 2900 loss = 0.936672
  batch 3000 loss = 0.919143
  batch 3100 loss = 0.871507
  batch 3200 loss = 0.892664
  batch 3300 loss = 0.880626
  batch 3400 loss = 0.937939
  batch 3500 loss = 0.939001
  batch 3600 loss = 0.934708
  batch 3700 loss = 0.883778
  batch 3800 loss = 0.928945
  batch 3900 loss = 0.930690
  batch 4000 loss = 0.927614
  batch 4100 loss = 0.837589
  batch 4200 loss = 0.926094
  batch 4300 loss = 0.854671
  batch 4400 loss = 0.919424
  batch 4500 loss = 0.905435
  batch 4600 loss = 0.870391
  batch 4700 loss = 0.834316
  batch 4800 loss = 0.938407
  batch 4900 loss = 0.914751
  batch 5000 loss = 0.905417
  batch 5100 loss = 0.858674
  batch 5200 loss = 0.939097
  batch 5300 loss = 0.927026
  batch 5400 loss = 0.878326
  batch 5500 loss = 0.876058
  batch 5600 loss = 0.937641
  batch 5700 loss = 0.896649
  batch 5800 loss = 0.907316
  batch 5900 loss = 0.918528
  batch 6000 loss = 0.914946
  batch 6100 loss = 0.890061
  batch 6200 loss = 0.896439
  batch 6300 loss = 0.922901
  batch 6400 loss = 0.939462
