Using device: cuda
Train chunks: 80
Val chunks: 10
Test chunks: 10

Using FROBENIUS NORMALIZATION

============================================================
Training MLP Deep (v17 - Frobenius normalized)
Parameters: 2,152,800
Batch size: 64
============================================================

  chunk 71 final batch loss = 0.724590
  chunk 72 final batch loss = 0.764234
  chunk 73 final batch loss = 0.505997
  chunk 74 final batch loss = 0.590208
  chunk 75 final batch loss = 0.311779
  chunk 76 final batch loss = 0.253890
  chunk 77 final batch loss = 0.490825
  chunk 78 final batch loss = 0.810394
  chunk 79 final batch loss = 0.697517
Validation loss: 0.529637
Saved BEST checkpoint
Epoch 5
  chunk 0 final batch loss = 0.802720
  chunk 1 final batch loss = 0.806790
  chunk 2 final batch loss = 0.539872
  chunk 3 final batch loss = 0.374716
  chunk 4 final batch loss = 0.802188
  chunk 5 final batch loss = 0.621037
  chunk 6 final batch loss = 0.287799
  chunk 7 final batch loss = 0.524998
  chunk 8 final batch loss = 0.408611
  chunk 9 final batch loss = 0.718615
  chunk 10 final batch loss = 0.490279
  chunk 11 final batch loss = 0.823097
  chunk 12 final batch loss = 0.732964
  chunk 13 final batch loss = 0.735213
  chunk 14 final batch loss = 0.532854
  chunk 15 final batch loss = 0.380636
  chunk 16 final batch loss = 0.407835
  chunk 17 final batch loss = 0.499386
  chunk 18 final batch loss = 0.722315
  chunk 19 final batch loss = 0.317178
  chunk 20 final batch loss = 0.825675
  chunk 21 final batch loss = 0.704213
  chunk 22 final batch loss = 0.790963
  chunk 23 final batch loss = 0.729811
  chunk 24 final batch loss = 0.794263
  chunk 25 final batch loss = 0.386461
  chunk 26 final batch loss = 0.809993
  chunk 27 final batch loss = 0.276917
  chunk 28 final batch loss = 0.294063
  chunk 29 final batch loss = 0.813820
  chunk 30 final batch loss = 0.404054
  chunk 31 final batch loss = 0.370541
  chunk 32 final batch loss = 0.758008
  chunk 33 final batch loss = 0.310294
  chunk 34 final batch loss = 0.488303
  chunk 35 final batch loss = 0.809026
  chunk 36 final batch loss = 0.720818
  chunk 37 final batch loss = 0.595322
  chunk 38 final batch loss = 0.292748
  chunk 39 final batch loss = 0.823738
  chunk 40 final batch loss = 0.345171
  chunk 41 final batch loss = 0.701303
  chunk 42 final batch loss = 0.315129
  chunk 43 final batch loss = 0.809525
  chunk 44 final batch loss = 0.384244
  chunk 45 final batch loss = 0.796239
  chunk 46 final batch loss = 0.303838
  chunk 47 final batch loss = 0.295078
  chunk 48 final batch loss = 0.374457
  chunk 49 final batch loss = 0.800240
  chunk 50 final batch loss = 0.744327
  chunk 51 final batch loss = 0.364701
  chunk 52 final batch loss = 0.244809
  chunk 53 final batch loss = 0.551968
  chunk 54 final batch loss = 0.419877
  chunk 55 final batch loss = 0.298008
  chunk 56 final batch loss = 0.769638
  chunk 57 final batch loss = 0.793497
  chunk 58 final batch loss = 0.696902
  chunk 59 final batch loss = 0.337308
  chunk 60 final batch loss = 0.717084
  chunk 61 final batch loss = 0.374189
  chunk 62 final batch loss = 0.359493
  chunk 63 final batch loss = 0.782421
  chunk 64 final batch loss = 0.807364
  chunk 65 final batch loss = 0.391198
  chunk 66 final batch loss = 0.673071
  chunk 67 final batch loss = 0.816820
  chunk 68 final batch loss = 0.514411
  chunk 69 final batch loss = 0.685994
  chunk 70 final batch loss = 0.284643
  chunk 71 final batch loss = 0.739898
  chunk 72 final batch loss = 0.774653
  chunk 73 final batch loss = 0.525695
  chunk 74 final batch loss = 0.600696
  chunk 75 final batch loss = 0.290236
  chunk 76 final batch loss = 0.260217
  chunk 77 final batch loss = 0.469362
  chunk 78 final batch loss = 0.799766
  chunk 79 final batch loss = 0.665307
Validation loss: 0.515913
Saved BEST checkpoint
Epoch 6
  chunk 0 final batch loss = 0.813774
  chunk 1 final batch loss = 0.807855
  chunk 2 final batch loss = 0.493419
  chunk 3 final batch loss = 0.366407
  chunk 4 final batch loss = 0.804888
  chunk 5 final batch loss = 0.594921
  chunk 6 final batch loss = 0.266594
  chunk 7 final batch loss = 0.485066
  chunk 8 final batch loss = 0.396833
  chunk 9 final batch loss = 0.700959
  chunk 10 final batch loss = 0.511697
  chunk 11 final batch loss = 0.828183
  chunk 12 final batch loss = 0.765962
  chunk 13 final batch loss = 0.763056
  chunk 14 final batch loss = 0.473389
  chunk 15 final batch loss = 0.362836
  chunk 16 final batch loss = 0.373306
  chunk 17 final batch loss = 0.512155
  chunk 18 final batch loss = 0.681919
  chunk 19 final batch loss = 0.295062
  chunk 20 final batch loss = 0.832751
  chunk 21 final batch loss = 0.680837
  chunk 22 final batch loss = 0.785743
  chunk 23 final batch loss = 0.726576
  chunk 24 final batch loss = 0.800693
  chunk 25 final batch loss = 0.401207
  chunk 26 final batch loss = 0.810804
  chunk 27 final batch loss = 0.255933
  chunk 28 final batch loss = 0.288216
  chunk 29 final batch loss = 0.815819
  chunk 30 final batch loss = 0.377036
  chunk 31 final batch loss = 0.333083
  chunk 32 final batch loss = 0.765759
  chunk 33 final batch loss = 0.293288
  chunk 34 final batch loss = 0.463057
  chunk 35 final batch loss = 0.804337
  chunk 36 final batch loss = 0.758878
  chunk 37 final batch loss = 0.566242
  chunk 38 final batch loss = 0.294013
  chunk 39 final batch loss = 0.827813
  chunk 40 final batch loss = 0.314618
  chunk 41 final batch loss = 0.736349
  chunk 42 final batch loss = 0.301118
  chunk 43 final batch loss = 0.809274
  chunk 44 final batch loss = 0.396963
  chunk 45 final batch loss = 0.788120
  chunk 46 final batch loss = 0.313864
  chunk 47 final batch loss = 0.309432
  chunk 48 final batch loss = 0.340837
  chunk 49 final batch loss = 0.829216
  chunk 50 final batch loss = 0.726601
  chunk 51 final batch loss = 0.352847
  chunk 52 final batch loss = 0.257187
  chunk 53 final batch loss = 0.570219
  chunk 54 final batch loss = 0.399921
  chunk 55 final batch loss = 0.280734
  chunk 56 final batch loss = 0.770920
  chunk 57 final batch loss = 0.760382
  chunk 58 final batch loss = 0.672264
  chunk 59 final batch loss = 0.304527
  chunk 60 final batch loss = 0.697243
  chunk 61 final batch loss = 0.364462
  chunk 62 final batch loss = 0.327313
  chunk 63 final batch loss = 0.813910
  chunk 64 final batch loss = 0.802130
  chunk 65 final batch loss = 0.394664
  chunk 66 final batch loss = 0.704806
  chunk 67 final batch loss = 0.808853
  chunk 68 final batch loss = 0.498279
  chunk 69 final batch loss = 0.646896
  chunk 70 final batch loss = 0.272655
  chunk 71 final batch loss = 0.712740
  chunk 72 final batch loss = 0.761008
  chunk 73 final batch loss = 0.491506
  chunk 74 final batch loss = 0.587664
  chunk 75 final batch loss = 0.285069
  chunk 76 final batch loss = 0.259982
  chunk 77 final batch loss = 0.480544
  chunk 78 final batch loss = 0.801674
  chunk 79 final batch loss = 0.676183
Validation loss: 0.509399
Saved BEST checkpoint
Epoch 7
  chunk 0 final batch loss = 0.802758
  chunk 1 final batch loss = 0.808194
  chunk 2 final batch loss = 0.502252
  chunk 3 final batch loss = 0.350229
  chunk 4 final batch loss = 0.786439
  chunk 5 final batch loss = 0.608412
  chunk 6 final batch loss = 0.256430
  chunk 7 final batch loss = 0.504276
  chunk 8 final batch loss = 0.403520
  chunk 9 final batch loss = 0.639779
  chunk 10 final batch loss = 0.465048
  chunk 11 final batch loss = 0.819539
  chunk 12 final batch loss = 0.757267
