epoch,chunk,batch,loss
1,depolarizing_0.1_part5012.pt,0,1.0219467878341675
1,depolarizing_0.1_part5013.pt,0,1.0796834230422974
1,depolarizing_0.1_part5014.pt,0,1.054701566696167
1,depolarizing_0.1_part5015.pt,0,1.0464533567428589
1,depolarizing_0.1_part5016.pt,0,1.0236129760742188
1,depolarizing_0.1_part5017.pt,0,1.05663001537323
1,depolarizing_0.1_part5018.pt,0,1.0263464450836182
1,depolarizing_0.1_part5019.pt,0,1.023441195487976
1,depolarizing_0.1_part5020.pt,0,1.0154528617858887
1,depolarizing_0.1_part5021.pt,0,1.064807415008545
1,depolarizing_0.1_part5022.pt,0,1.034590721130371
1,depolarizing_0.1_part5023.pt,0,1.0510470867156982
1,depolarizing_0.1_part5024.pt,0,1.0384609699249268
1,depolarizing_0.1_part5025.pt,0,1.044959306716919
1,depolarizing_0.1_part5026.pt,0,1.0317081212997437
1,depolarizing_0.1_part5027.pt,0,1.0360782146453857
1,depolarizing_0.1_part5028.pt,0,1.038561224937439
1,depolarizing_0.1_part5029.pt,0,1.0390331745147705
1,depolarizing_0.1_part5030.pt,0,1.0401488542556763
1,depolarizing_0.1_part5031.pt,0,1.0396679639816284
1,depolarizing_0.1_part5032.pt,0,1.029293179512024
1,depolarizing_0.1_part5033.pt,0,1.0321873426437378
1,depolarizing_0.1_part5034.pt,0,1.0588635206222534
1,depolarizing_0.1_part5035.pt,0,1.0703915357589722
1,depolarizing_0.1_part5036.pt,0,1.0823132991790771
1,depolarizing_0.1_part5037.pt,0,1.0822563171386719
1,depolarizing_0.1_part5038.pt,0,1.0230085849761963
1,depolarizing_0.1_part5039.pt,0,1.025001049041748
1,depolarizing_0.1_part5040.pt,0,1.0461554527282715
1,depolarizing_0.1_part5041.pt,0,1.0426006317138672
1,depolarizing_0.1_part5042.pt,0,1.0336437225341797
1,depolarizing_0.1_part5043.pt,0,1.0435991287231445
1,depolarizing_0.1_part5044.pt,0,1.0446209907531738
1,depolarizing_0.1_part5045.pt,0,1.0381220579147339
1,depolarizing_0.1_part5046.pt,0,1.0552092790603638
1,depolarizing_0.1_part5047.pt,0,1.0288735628128052
1,depolarizing_0.1_part5048.pt,0,1.062271237373352
1,depolarizing_0.1_part5049.pt,0,1.0427751541137695
1,bitflip_0.15_part70001.pt,0,1.0466638803482056
1,bitflip_0.15_part70002.pt,0,1.018410325050354
1,bitflip_0.15_part70003.pt,0,1.0265402793884277
1,bitflip_0.15_part70004.pt,0,1.0147004127502441
1,bitflip_0.15_part70005.pt,0,1.0329173803329468
1,bitflip_0.15_part70006.pt,0,1.0244776010513306
1,bitflip_0.15_part70007.pt,0,1.051834225654602
1,bitflip_0.15_part70008.pt,0,1.0487719774246216
1,bitflip_0.15_part70009.pt,0,1.0429738759994507
1,bitflip_0.15_part70010.pt,0,1.0368249416351318
1,bitflip_0.15_part70011.pt,0,1.02706778049469
1,bitflip_0.15_part70012.pt,0,1.0252342224121094
1,bitflip_0.15_part70013.pt,0,1.0354506969451904
1,bitflip_0.15_part70014.pt,0,1.062715768814087
1,bitflip_0.15_part70015.pt,0,1.0584510564804077
1,bitflip_0.15_part70016.pt,0,1.0308374166488647
1,bitflip_0.15_part70017.pt,0,1.0354398488998413
1,bitflip_0.15_part70018.pt,0,1.0412198305130005
1,bitflip_0.15_part70019.pt,0,1.0349501371383667
1,bitflip_0.15_part70020.pt,0,1.0732978582382202
1,bitflip_0.15_part70021.pt,0,1.025119423866272
1,bitflip_0.15_part70022.pt,0,1.0052168369293213
1,bitflip_0.15_part70023.pt,0,0.9997081756591797
1,bitflip_0.15_part70024.pt,0,1.067461371421814
